Warehouse,Location,Type,Pick Priority,Pickable,Sellable,Transfer bin,Quantity
VP North,1-A-01-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-01-A-02,Pallite_16,0,,Yes,,0
VP North,1-A-01-A-03,Pallite_16,0,,Yes,,0
VP North,1-A-01-A-04,Pallite_16,0,,Yes,,0
VP North,1-A-01-B-01,Pallite_16,0,,Yes,,6
VP North,1-A-01-B-02,Pallite_16,0,,Yes,,7
VP North,1-A-01-B-03,Pallite_16,0,,Yes,,36
VP North,1-A-01-B-04,Pallite_16,0,,Yes,,35
VP North,1-A-01-C-01,Pallite_16,0,,Yes,,5
VP North,1-A-01-C-02,Pallite_16,0,,Yes,,12
VP North,1-A-01-C-03,Pallite_16,0,,Yes,,24
VP North,1-A-01-C-04,Pallite_16,0,,Yes,,6
VP North,1-A-01-D-01,Pallite_16,0,,Yes,,6
VP North,1-A-01-D-02,Pallite_16,0,,Yes,,23
VP North,1-A-01-D-03,Pallite_16,0,,Yes,,14
VP North,1-A-01-D-04,Pallite_16,0,,Yes,,30
VP North,1-A-01-E-01,Pallite_16,0,,Yes,,24
VP North,1-A-01-E-02,Pallite_16,0,,Yes,,9
VP North,1-A-01-E-03,Pallite_16,0,,Yes,,6
VP North,1-A-01-E-04,Pallite_16,0,,Yes,,6
VP North,1-A-01-F-01,Pallite_16,0,,Yes,,0
VP North,1-A-01-F-02,Pallite_16,0,,Yes,,0
VP North,1-A-01-F-03,Pallite_16,0,,Yes,,0
VP North,1-A-01-F-04,Pallite_16,0,,Yes,,0
VP North,1-A-01-G-01,Pallite_16,0,,Yes,,0
VP North,1-A-01-G-02,Pallite_16,0,,Yes,,0
VP North,1-A-01-G-03,Pallite_16,0,,Yes,,0
VP North,1-A-01-G-04,Pallite_16,0,,Yes,,0
VP North,1-A-02-A-01,Pallite_48,0,,Yes,,0
VP North,1-A-02-A-02,Pallite_48,0,,Yes,,0
VP North,1-A-02-A-03,Pallite_48,0,,Yes,,0
VP North,1-A-02-A-04,Pallite_48,0,,Yes,,0
VP North,1-A-02-B-01,Pallite_48,0,,Yes,,1
VP North,1-A-02-B-02,Pallite_48,0,,Yes,,3
VP North,1-A-02-B-03,Pallite_48,0,,Yes,,18
VP North,1-A-02-B-04,Pallite_48,0,,Yes,,5
VP North,1-A-02-C-01,Pallite_48,0,,Yes,,12
VP North,1-A-02-C-02,Pallite_48,0,,Yes,,6
VP North,1-A-02-C-03,Pallite_48,0,,Yes,,12
VP North,1-A-02-C-04,Pallite_48,0,,Yes,,14
VP North,1-A-02-D-01,Pallite_48,0,,Yes,,11
VP North,1-A-02-D-02,Pallite_48,0,,Yes,,12
VP North,1-A-02-D-03,Pallite_48,0,,Yes,,12
VP North,1-A-02-D-04,Pallite_48,0,,Yes,,10
VP North,1-A-02-E-01,Pallite_48,0,,Yes,,6
VP North,1-A-02-E-02,Pallite_48,0,,Yes,,5
VP North,1-A-02-E-03,Pallite_48,0,,Yes,,9
VP North,1-A-02-E-04,Pallite_48,0,,Yes,,9
VP North,1-A-02-F-01,Pallite_48,0,,Yes,,18
VP North,1-A-02-F-02,Pallite_48,0,,Yes,,7
VP North,1-A-02-F-03,Pallite_48,0,,Yes,,63
VP North,1-A-02-F-04,Pallite_48,0,,Yes,,40
VP North,1-A-02-G-01,Pallite_48,0,,Yes,,14
VP North,1-A-02-G-02,Pallite_48,0,,Yes,,41
VP North,1-A-02-G-03,Pallite_48,0,,Yes,,40
VP North,1-A-02-G-04,Pallite_48,0,,Yes,,33
VP North,1-A-03-A-01,Pallite_16,0,,Yes,,0
VP North,1-A-03-A-02,Pallite_16,0,,Yes,,0
